
List of user-set options:

                                    Name   Value                used
                             alpha_for_y = safer-min-dual-infeas  yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 5e-05                 yes
This is Ipopt version 3.14.11, running with linear solver MUMPS 5.2.1.

Number of nonzeros in equality constraint Jacobian...:    24051
Number of nonzeros in inequality constraint Jacobian.:    23804
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      238
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      180
                     variables with only upper bounds:        0
Total number of equality constraints.................:      193
Total number of inequality constraints...............:      182
        inequality constraints with only lower bounds:       63
   inequality constraints with lower and upper bounds:       74
        inequality constraints with only upper bounds:       45

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  44  6.0481192e-01 8.31e+00 4.91e+07   2.4 4.63e+01    -  9.59e-02 1.66e-01h  1
  45  6.0191766e-01 7.72e+00 4.15e+07   2.4 4.41e+01    -  3.07e-01 1.29e-01h  1
  46  6.2697858e-01 1.48e+00 8.52e+07   4.3 2.30e+01    -  2.81e-01 3.20e-01f  1
  47  6.3034670e-01 1.12e+01 2.75e+07   3.9 1.32e+01    -  2.34e-01 3.90e-01h  1
  48  6.2530479e-01 4.69e+00 9.62e+07   4.4 3.15e+01    -  1.00e+00 2.88e-01f  1
  49  6.5170400e-01 9.75e+00 5.65e+07   4.6 2.86e+01    -  1.00e+00 4.99e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  50  6.7455958e-01 1.32e+02 9.26e+07   4.8 2.00e+01    -  9.46e-01 7.44e-01f  1
  51  6.7532579e-01 6.34e+01 5.16e+07   4.7 2.26e+01    -  9.67e-01 6.49e-01h  1
  52  6.9302822e-01 6.25e+01 4.84e+07   4.0 1.27e+01    -  6.83e-01 5.53e-01h  1
  53  7.2949291e-01 1.12e+02 6.56e+07   4.6 2.28e+01    -  1.00e+00 1.00e+00f  1
  54  7.4294649e-01 4.35e+01 5.92e+07   4.5 3.21e+01    -  3.56e-01 3.93e-01H  1
  55  7.5861104e-01 7.84e+00 1.40e+08   3.8 1.58e+01    -  8.52e-01 8.44e-01h  1
  56  7.5392088e-01 7.27e+00 1.13e+08   3.1 2.20e+01    -  2.84e-01 2.04e-01h  1
  57  7.5258793e-01 6.67e+00 5.09e+07   2.4 1.46e+01    -  5.16e-01 2.57e-01h  1
  58  7.4282084e-01 1.33e+01 6.00e+07   4.7 1.40e+01    -  1.00e+00 1.00e+00f  1
  59  7.5231805e-01 2.79e+02 5.35e+07   4.6 1.64e+01    -  8.24e-01 1.00e+00h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  60  7.6208814e-01 8.62e+01 2.42e+07   3.9 2.00e+01    -  4.39e-01 4.81e-01h  1
  61  7.6194725e-01 6.68e+00 3.59e+07   3.2 3.28e+01    -  5.57e-01 4.12e-01h  1
  62  7.6111191e-01 4.52e+00 1.09e+07   2.5 1.35e+01    -  4.82e-01 1.04e-01h  1
  63  7.5323295e-01 7.54e+00 1.14e+07   1.8 1.55e+01    -  3.81e-01 4.76e-01h  1
  64  7.5396427e-01 7.03e+00 1.15e+07  -2.4 1.40e+01    -  4.30e-01 9.15e-02h  1
  65  7.5872340e-01 5.77e+00 1.37e+07   3.2 1.47e+01    -  2.68e-01 1.73e-01f  1
  66  8.2281200e-01 7.12e+00 3.25e+07   3.4 2.77e+01    -  1.35e-01 8.65e-01f  1
  67  8.4085400e-01 8.51e+00 3.51e+07   3.3 2.82e+01    -  4.45e-01 4.80e-01f  1
  68  8.3894822e-01 1.02e+01 1.37e+07   2.6 8.94e+00    -  3.31e-02 5.07e-01h  1
  69  8.3843443e-01 8.93e+00 1.08e+07   1.9 1.03e+01    -  4.00e-01 1.40e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  70  8.3992835e-01 7.13e+00 7.18e+06   1.9 1.23e+01    -  3.51e-01 1.61e-01h  1
  71  8.4690936e-01 3.88e+00 8.90e+06   1.9 1.76e+01    -  3.33e-01 4.32e-01h  1
  72  8.5231127e-01 2.76e+00 5.82e+06   1.9 2.53e+01    -  1.42e-01 2.70e-01h  1
  73  8.5232434e-01 2.41e+00 4.81e+06   3.0 9.77e+00    -  2.24e-01 2.99e-01f  1
  74  8.5082492e-01 1.33e+00 4.64e+06   3.8 7.32e+01    -  7.16e-01 4.33e-01f  1
  75  8.4574912e-01 3.81e+00 6.76e+06   3.6 1.33e+01    -  1.00e+00 1.00e+00f  1
  76  8.4540948e-01 1.83e-01 2.34e+06   3.1 2.20e+01    -  7.28e-01 4.59e-01h  1
  77  8.4678355e-01 3.67e-01 1.04e+06   2.7 6.58e+00    -  1.00e+00 5.11e-01h  1
  78  8.2912367e-01 1.87e+00 9.51e+06   3.5 7.93e+00    -  1.00e+00 1.00e+00f  1
  79  8.2645029e-01 1.07e+00 1.00e+07   3.3 7.46e+00    -  3.23e-01 3.19e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  80  8.2300742e-01 3.59e-01 1.44e+07   3.2 9.91e+00    -  6.41e-01 6.65e-01H  1
  81  8.2335088e-01 1.68e-01 4.41e+06   3.1 1.25e+01    -  1.00e+00 1.25e-01h  4
  82  8.2607199e-01 1.22e+00 3.20e+06   2.4 5.36e+00    -  1.00e+00 6.70e-01h  1
  83  8.2617347e-01 7.95e-01 1.71e+06   1.9 3.65e+00    -  1.00e+00 5.49e-01h  1
  84  8.2715049e-01 3.98e-01 2.01e+06   1.4 3.16e+00    -  1.00e+00 6.22e-01H  1
  85  8.2778949e-01 4.04e-01 1.98e+06   1.3 1.84e+01    -  1.00e+00 7.34e-02h  1
  86  8.3238416e-01 3.58e-01 1.65e+06   2.4 5.64e+00    -  1.00e+00 1.00e+00f  1
  87  8.3532681e-01 3.31e-01 1.63e+06   2.3 7.73e+00    -  2.64e-01 1.24e-01h  3
  88  8.3621046e-01 3.23e-01 1.76e+06   1.6 3.03e+01    -  4.16e-01 1.72e-02h  6
  89  8.3674520e-01 3.20e-01 1.88e+06   0.9 4.47e+01    -  4.85e-02 6.93e-03h  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
  90  8.3700048e-01 3.19e-01 1.94e+06   0.9 6.23e+01    -  1.86e-01 1.87e-03h  7
  91  8.3712300e-01 3.19e-01 1.95e+06   0.9 6.45e+01    -  2.24e-02 6.63e-04f  8
  92  8.4428139e-01 3.06e-01 5.19e+06   0.9 1.08e+02    -  1.28e-01 3.36e-02f  2
  93  8.4436353e-01 3.05e-01 4.76e+06   0.9 1.97e+02    -  7.92e-02 1.97e-03h  7
  94  8.4452085e-01 3.05e-01 4.09e+06   0.9 1.95e+01    -  2.00e-01 3.15e-03h  7
  95  8.5279678e-01 2.84e-01 6.26e+06   0.9 3.19e+02    -  7.12e-03 5.39e-02f  2
  96  8.5518745e-01 2.80e-01 6.74e+06   0.9 1.26e+02    -  4.24e-02 2.13e-02h  3
  97  8.5717168e-01 2.72e-01 5.47e+06   0.9 9.56e+01    -  3.63e-01 2.18e-02h  3
  98  8.5736011e-01 2.70e-01 5.30e+06   0.9 8.25e+01    -  4.48e-02 4.92e-03h  6
  99  8.6756071e-01 1.73e-01 5.84e+06   0.9 2.04e+01    -  1.36e-01 3.35e-01w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 100  8.7932168e-01 1.68e-01 1.12e+07   0.9 3.43e+02    -  1.25e-02 2.47e-02w  1
 101  9.0353567e-01 1.37e-01 1.50e+07   0.9 7.13e+01    -  2.15e-01 1.69e-01w  1
 102  8.5743981e-01 2.69e-01 4.58e+06   0.9 1.06e+02    -  1.36e-01 2.62e-03h  7
 103  8.6111990e-01 2.60e-01 4.64e+06   0.9 1.32e+02    -  3.06e-03 3.03e-02f  3
 104  8.6338132e-01 2.55e-01 3.49e+06   0.9 1.93e+02    -  1.45e-01 7.60e-03h  5
 105  8.6805621e-01 2.55e-01 5.08e+06   0.9 5.80e+02    -  1.02e-02 5.98e-03f  4
 106  8.7030314e-01 2.54e-01 5.27e+06   0.9 4.68e+02    -  4.47e-02 2.64e-03f  5
 107  8.7277528e-01 2.53e-01 5.26e+06   0.9 3.76e+02    -  6.69e-02 3.70e-03f  5
 108  8.7801567e-01 2.51e-01 5.52e+06   0.9 2.21e+02    -  6.39e-02 1.19e-02f  4
 109  8.8011010e-01 2.49e-01 5.89e+06   0.9 1.45e+02    -  4.77e-03 7.54e-03f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 110  8.9006696e-01 2.44e-01 5.97e+06   0.9 1.59e+02    -  2.06e-01 2.98e-02f  3
 111  8.9196833e-01 2.42e-01 5.83e+06   0.9 2.19e+02    -  8.92e-02 6.38e-03h  5
 112  9.1632859e-01 2.51e-01 4.17e+06   0.9 4.70e+01    -  4.13e-01 2.00e-01w  1
 113  9.2368270e-01 2.28e-01 4.75e+06   0.9 2.93e+01    -  1.58e-01 6.88e-02w  1
 114  9.1738471e-01 2.52e-01 2.78e+07   0.9 2.60e+02    -  4.28e-02 1.05e-01w  1
 115  9.0414846e-01 2.46e-01 3.41e+06   0.9 1.87e+01    -  4.13e-01 9.98e-02h  1
 116  9.2047307e-01 1.95e-01 5.93e+06   0.9 3.81e+01    -  1.65e-01 1.42e-01H  1
 117  9.2065894e-01 1.92e-01 5.92e+06   0.9 2.93e+02    -  1.01e-01 9.11e-03h  4
 118  9.3038172e-01 1.71e-01 4.42e+06   0.9 2.01e+01    -  4.59e-01 1.34e-01h  1
 119  9.3526258e-01 1.16e-01 4.72e+06   0.9 8.26e+00    -  5.41e-02 2.04e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 120  9.3360505e-01 1.13e-01 3.25e+06   0.9 3.98e+02    -  4.09e-03 1.80e-02f  3
 121  9.4977940e-01 6.70e-02 5.77e+06   0.9 1.38e+01    -  2.32e-01 4.23e-01h  1
 122  9.5766189e-01 6.70e-02 7.06e+06   0.9 2.02e+02    -  3.13e-03 1.70e-02f  3
 123  9.6176790e-01 6.70e-02 7.53e+06   0.9 1.12e+02    -  1.60e-01 1.12e-02h  3
 124  9.6377580e-01 6.70e-02 7.61e+06   0.9 2.42e+02    -  1.36e-02 2.62e-03h  5
 125  9.6558477e-01 6.70e-02 7.75e+06   0.9 2.87e+02    -  4.65e-02 1.90e-03h  5
 126  9.6635117e-01 6.70e-02 7.76e+06   0.9 6.46e+02    -  9.34e-03 4.26e-04f  7
 127  9.6796283e-01 6.70e-02 7.83e+06   0.9 5.94e+02    -  3.41e-02 9.00e-04f  6
 128  9.6854808e-01 6.70e-02 7.76e+06   0.9 1.33e+03    -  4.54e-03 3.13e-04f  7
 129  9.7023769e-01 6.70e-02 7.85e+06   0.9 4.21e+02    -  2.15e-02 1.38e-03f  6
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 130  9.8072818e-01 6.70e-02 1.20e+07   0.9 1.00e+03    -  6.68e-03 8.45e-03f  2
 131  9.8400998e-01 6.70e-02 1.02e+07   0.9 1.46e+02    -  2.46e-01 6.85e-03h  5
 132  9.9437409e-01 6.69e-02 7.69e+06   0.9 3.83e+02    -  2.70e-02 1.92e-02w  1
 133  1.0474826e+00 7.35e-02 1.35e+07   0.9 5.66e+01    -  8.55e-02 2.28e-01w  1
 134  1.0535672e+00 8.38e-02 9.51e+06   0.9 5.40e+02    -  4.35e-02 1.64e-02w  1
 135  9.8465773e-01 6.70e-02 9.86e+06   0.9 3.40e+01    -  2.70e-02 1.20e-03h  4
 136  9.8588543e-01 6.70e-02 9.63e+06   0.9 3.15e+02    -  3.18e-02 1.49e-03h  4
 137  9.8893553e-01 6.70e-02 9.60e+06   0.9 1.59e+02    -  3.37e-02 6.39e-03f  3
 138  9.9346638e-01 6.70e-02 8.52e+06   0.9 1.12e+02    -  1.65e-01 1.51e-02f  3
 139  9.9871813e-01 6.70e-02 9.35e+06   0.9 1.35e+02    -  1.75e-02 1.52e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 140  1.0045327e+00 6.69e-02 6.52e+06   0.9 8.87e+01    -  3.17e-01 1.65e-02h  3
 141  1.0064858e+00 6.69e-02 6.21e+06   0.9 3.70e+02    -  1.82e-02 4.76e-03f  4
 142  1.0192781e+00 6.69e-02 6.90e+06   0.9 8.96e+01    -  3.38e-02 5.18e-02f  3
 143  1.0199507e+00 6.69e-02 6.21e+06   0.9 2.95e+03    -  5.72e-03 5.35e-04f  5
 144  1.0249479e+00 6.69e-02 5.23e+06   0.9 1.04e+02    -  1.81e-01 2.00e-02h  4
 145  1.0397665e+00 1.01e-01 4.17e+06   0.9 4.90e+02    -  3.01e-02 4.54e-02w  1
 146  1.0458919e+00 9.46e-02 3.91e+06   0.9 1.80e+01    -  1.90e-01 7.46e-02w  1
 147  1.0427047e+00 1.60e-01 5.56e+06   0.9 7.40e+02    -  2.17e-03 2.73e-02w  1
 148  1.0258741e+00 6.69e-02 4.50e+06   0.9 3.12e+01    -  3.01e-02 2.84e-03f  4
 149  1.0307594e+00 6.68e-02 3.91e+06   0.9 7.87e+01    -  1.64e-01 3.31e-02h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 150  1.0331134e+00 6.68e-02 3.83e+06   0.9 3.47e+02    -  3.28e-03 8.53e-03f  3
 151  1.0399748e+00 6.68e-02 3.21e+06   0.9 1.02e+02    -  2.31e-01 4.13e-02h  3
 152  1.0441098e+00 6.68e-02 2.86e+06   0.9 1.50e+02    -  8.20e-03 1.13e-02f  4
 153  1.0492000e+00 6.68e-02 2.49e+06   0.9 1.73e+02    -  2.67e-01 1.75e-02h  3
 154  1.0505862e+00 6.68e-02 2.83e+06   0.9 7.40e+02    -  4.32e-03 6.26e-04f  7
 155  1.0524885e+00 6.68e-02 3.22e+06   0.9 6.57e+02    -  8.05e-03 9.93e-04f  6
 156  1.0547310e+00 6.68e-02 3.45e+06   0.9 2.57e+02    -  2.80e-02 2.33e-03f  6
 157  1.0626141e+00 6.68e-02 4.59e+06   0.9 6.83e+02    -  8.22e-03 3.30e-03f  4
 158  1.1481978e+00 5.22e+00 2.66e+07   0.9 9.96e+02    -  1.80e-02 2.44e-02w  1
 159  1.1563234e+00 5.23e+00 2.77e+07   0.9 2.88e+02    -  8.80e-02 1.26e-02w  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 160  1.1640672e+00 5.22e+00 2.77e+07   0.9 1.11e+02    -  8.36e-02 4.16e-02w  1
 161  1.0652886e+00 6.68e-02 5.11e+06   0.9 2.08e+02    -  1.80e-02 7.62e-04f  5
 162  1.0876560e+00 6.68e-02 1.16e+07   0.9 7.29e+02    -  3.21e-02 9.07e-03f  3
 163  1.0887458e+00 6.68e-02 1.13e+07   0.9 4.69e+02    -  7.08e-02 5.50e-04h  7
 164  1.0898477e+00 6.68e-02 1.13e+07   0.9 3.79e+02    -  6.42e-02 1.29e-03h  6
 165  1.0951944e+00 6.68e-02 1.14e+07   0.9 1.34e+02    -  2.12e-01 8.83e-03h  5
 166  1.1028143e+00 6.68e-02 1.14e+07   0.9 5.85e+01    -  3.55e-01 2.62e-02h  4
 167  1.1162694e+00 6.68e-02 1.40e+07   0.9 2.95e+01    -  9.88e-02 7.98e-02h  3
 168  1.1162357e+00 6.68e-02 1.37e+07   0.9 2.96e+03    -  9.78e-03 4.24e-05h  7
 169  1.1215747e+00 4.41e-01 9.82e+06   0.9 2.11e+01    -  2.23e-01 7.52e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 170  1.1207508e+00 2.62e-01 4.66e+06   0.9 9.70e+00    -  4.51e-01 4.22e-01h  1
 171  1.1204530e+00 2.31e-01 3.51e+06   0.9 8.42e+00    -  9.18e-01 1.20e-01h  1
 172  1.1202075e+00 1.98e-01 1.62e+06   0.9 1.01e+01    -  3.41e-01 1.53e-01h  1
 173  1.1200758e+00 1.64e-01 1.08e+06   0.9 9.82e+00    -  5.25e-01 1.86e-01h  1
 174  1.1203405e+00 1.38e-01 7.66e+05   0.9 1.23e+01    -  3.45e-01 2.21e-01h  1
 175  1.1200697e+00 1.04e-01 1.22e+06   0.9 9.19e+00    -  2.96e-01 4.37e-01h  1
 176  1.1196096e+00 6.74e-02 9.93e+05   0.9 6.84e+00    -  2.24e-01 7.27e-01h  1
 177  1.1201730e+00 6.73e-02 2.33e+06   0.9 1.23e+01    -  1.99e-01 1.65e-01H  1
 178  1.1201574e+00 6.73e-02 1.74e+06   0.9 3.27e+00    -  1.00e+00 2.96e-02h  1
 179  1.1201759e+00 6.73e-02 1.55e+06   0.9 8.00e+00    -  1.82e-01 6.10e-02f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 180  1.1203530e+00 6.72e-02 1.49e+06   0.9 1.34e+01    -  8.37e-01 2.89e-02f  3
 181  1.1207871e+00 6.72e-02 1.27e+06   0.9 1.00e+01    -  1.00e+00 6.34e-02f  2
 182  1.1231953e+00 6.72e-02 1.78e+06   0.9 3.60e+01    -  1.72e-01 6.44e-02f  3
 183  1.1289343e+00 6.70e-02 1.39e+06   0.9 1.22e+01    -  1.00e+00 4.65e-01H  1
 184  1.1347692e+00 6.70e-02 1.65e+06   0.9 2.19e+01    -  1.72e-01 3.26e-01F  1
 185  1.1445998e+00 6.71e-02 3.98e+06   0.9 1.27e+01    -  7.49e-01 6.17e-01F  1
 186  1.1449788e+00 6.71e-02 3.46e+06   0.9 5.70e+00    -  1.80e-01 2.62e-02h  1
 187  1.1501982e+00 6.71e-02 2.62e+06   0.9 1.68e+01    -  4.49e-01 1.46e-01f  3
 188  1.1545926e+00 6.71e-02 2.45e+06   0.9 2.56e+01    -  1.92e-01 5.78e-02f  3
 189  1.1605672e+00 6.72e-02 1.17e+06   0.9 1.87e+01    -  1.00e+00 1.10e-01f  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 190  1.1631063e+00 6.72e-02 1.07e+06   0.9 1.89e+02    -  4.68e-02 3.37e-03f  4
 191  1.1662044e+00 6.72e-02 9.42e+05   0.9 6.83e+01    -  2.28e-01 2.01e-02f  4
 192  1.1770687e+00 6.72e-02 1.69e+06   0.9 8.60e+01    -  3.52e-03 5.09e-02f  2
 193  1.1834040e+00 6.72e-02 1.77e+06   0.9 8.93e+01    -  1.95e-01 1.87e-02f  2
 194  1.1955349e+00 9.14e-02 2.38e+06   0.9 1.99e+02    -  7.23e-03 9.34e-02f  1
 195  1.1999616e+00 9.03e-02 2.02e+06   0.9 5.63e+01    -  2.47e-01 1.88e-02h  2
 196  1.1987470e+00 8.10e-02 4.11e+06   0.9 4.45e+01    -  2.59e-01 1.01e-01f  2
 197  1.1975734e+00 6.72e-02 2.55e+06   0.9 9.14e+00    -  2.58e-01 4.69e-01h  1
 198  1.1986367e+00 6.72e-02 1.01e+06   0.9 2.68e+01    -  3.32e-01 7.31e-02H  1
 199  1.2021323e+00 6.72e-02 1.57e+06   0.9 8.86e+00    -  2.71e-02 7.15e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 200  1.2042180e+00 1.37e-01 1.12e+06   0.9 4.70e+00    -  3.08e-01 1.00e+00f  1
 201  1.2035043e+00 1.92e-01 4.32e+05   0.9 2.69e+00    -  1.00e+00 2.46e-01h  1
 202  1.2034159e+00 1.90e-01 4.20e+05   0.2 2.04e+00    -  7.19e-01 1.85e-02h  1
 203  1.1961710e+00 6.71e-02 1.02e+06   0.2 4.84e+00    -  9.76e-01 9.79e-01h  1
 204  1.1950266e+00 6.72e-02 3.75e+05   0.2 4.36e+00    -  3.18e-01 6.11e-01h  1
 205  1.1935900e+00 6.73e-02 2.34e+06   0.2 5.82e+00    -  9.49e-01 9.08e-01f  1
 206  1.1880688e+00 6.73e-02 1.52e+06   0.7 1.21e+01    -  9.74e-01 1.00e+00f  1
 207  1.1894202e+00 6.73e-02 7.10e+05   0.6 1.17e+01    -  1.00e+00 2.46e-01h  1
 208  1.1877995e+00 6.73e-02 1.15e+06   0.6 1.18e+01    -  2.32e-01 1.00e+00F  1
 209  1.1878254e+00 6.73e-02 8.25e+05   0.6 5.29e+00    -  6.75e-01 5.76e-01H  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 210  1.1878946e+00 6.73e-02 8.11e+05  -0.1 1.12e+01    -  4.32e-01 5.57e-03h  1
 211  1.1899900e+00 6.72e-02 4.62e+05  -1.2 5.89e+00    -  4.13e-02 4.74e-01h  1
 212  1.1901463e+00 6.72e-02 3.79e+05   0.3 1.10e+01    -  1.00e+00 3.38e-02f  1
