
List of user-set options:

                                    Name   Value                used
                             alpha_for_y = safer-min-dual-infeas  yes
                        file_print_level = 5                     yes
                   hessian_approximation = limited-memory        yes
                           linear_solver = mumps                 yes
                                max_iter = 1000                  yes
                      nlp_scaling_method = gradient-based        yes
                             output_file = IPOPT.out             yes
                             print_level = 5                     yes
                      print_user_options = yes                   yes
                                      sb = yes                   yes
                                     tol = 5e-05                 yes
This is Ipopt version 3.14.11, running with linear solver MUMPS 5.2.1.

Number of nonzeros in equality constraint Jacobian...:    24051
Number of nonzeros in inequality constraint Jacobian.:    23804
Number of nonzeros in Lagrangian Hessian.............:        0

Total number of variables............................:      238
                     variables with only lower bounds:        0
                variables with lower and upper bounds:      180
                     variables with only upper bounds:        0
Total number of equality constraints.................:      193
Total number of inequality constraints...............:      182
        inequality constraints with only lower bounds:       63
   inequality constraints with lower and upper bounds:       74
        inequality constraints with only upper bounds:       45

iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 213  1.1908918e+00 6.72e-02 2.02e+05   1.0 1.30e+01    -  3.87e-01 4.98e-01f  1
 214  1.1922112e+00 6.72e-02 2.67e+05   0.6 7.73e+00    -  2.19e-01 4.51e-01h  1
 215  1.1940700e+00 6.72e-02 1.51e+05   0.6 1.03e+01    -  1.62e-01 4.34e-01h  1
 216  1.1940680e+00 6.72e-02 1.49e+05  -0.1 4.57e+00    -  4.67e-01 3.25e-01h  1
 217  1.1939178e+00 6.72e-02 8.11e+04  -0.1 2.25e+00    -  8.48e-01 1.91e-01h  1
 218  1.1921960e+00 6.73e-02 2.04e+05  -0.1 3.21e+00    -  1.00e+00 1.00e+00h  1
 219  1.1922904e+00 6.73e-02 3.34e+05  -0.1 3.24e+00    -  6.68e-01 2.08e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 220  1.1921501e+00 6.72e-02 3.08e+05  -0.1 2.62e+00    -  1.83e-02 5.07e-01f  1
 221  1.1927519e+00 6.71e-02 7.36e+05   0.5 3.87e+00    -  1.67e-01 4.90e-01f  1
 222  1.1927773e+00 6.71e-02 1.97e+05  -0.0 1.53e+00    -  6.73e-01 2.40e-02h  1
 223  1.1936853e+00 6.68e-02 1.15e+06  -0.0 5.74e+00    -  2.79e-01 1.00e+00f  1
 224  1.1944779e+00 6.68e-02 5.33e+05  -0.0 8.34e+00    -  1.44e-01 5.88e-01f  1
 225  1.1954017e+00 9.20e-02 1.46e+06  -0.0 5.61e+00    -  4.26e-01 1.00e+00f  1
 226  1.1953197e+00 8.87e-02 1.46e+06  -0.0 8.99e+00    -  7.42e-01 3.63e-02h  1
 227  1.1937590e+00 6.69e-02 2.32e+06  -0.0 9.66e+00    -  2.62e-01 4.97e-01f  1
 228  1.1936664e+00 6.70e-02 2.42e+06  -0.0 3.96e+00    -  3.34e-02 4.88e-01h  1
 229  1.1941669e+00 6.72e-02 2.95e+06  -0.0 2.42e+00    -  7.52e-01 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 230  1.1964011e+00 6.72e-02 2.24e+06  -0.0 4.06e+00    -  6.93e-01 1.00e+00f  1
 231  1.1953314e+00 6.72e-02 2.36e+05  -0.0 4.45e+00    -  4.72e-01 4.44e-01h  1
 232  1.1942146e+00 6.69e-02 3.87e+06  -0.0 1.87e+00    -  7.47e-01 1.00e+00f  1
 233  1.1949382e+00 6.69e-02 4.15e+06   0.2 1.15e+01    -  1.00e+00 1.28e-01f  2
 234  1.1954717e+00 6.70e-02 2.83e+06   0.1 1.39e+00    -  7.71e-01 1.00e+00f  1
 235  1.1956527e+00 6.70e-02 2.97e+06  -0.4 3.90e+00    -  1.00e+00 1.37e-01h  2
 236  1.1957812e+00 6.70e-02 1.70e+06  -0.6 4.80e+00    -  1.00e+00 3.12e-02h  6
 237  1.1958416e+00 6.70e-02 3.77e+05  -0.3 1.31e+01    -  1.00e+00 7.22e-03h  7
 238  1.1962302e+00 6.70e-02 5.26e+05  -0.4 1.05e+01    -  1.00e+00 4.97e-02h  5
 239  1.1962842e+00 6.70e-02 6.25e+05  -0.5 1.25e+01    -  1.00e+00 7.77e-03h  7
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 240  1.1963664e+00 6.70e-02 6.30e+05  -0.5 1.94e+01    -  4.20e-01 4.65e-03h  7
 241  1.1984828e+00 6.70e-02 2.64e+06  -0.5 1.05e+02    -  3.35e-02 3.48e-02f  2
 242  1.1985342e+00 6.70e-02 2.61e+06  -0.5 8.30e+00    -  1.00e+00 1.10e-02h  5
 243  1.1985772e+00 6.70e-02 2.59e+06  -0.5 9.58e+00    -  1.00e+00 7.25e-03h  7
 244  1.1986061e+00 6.70e-02 2.57e+06  -0.5 9.23e+00    -  6.70e-01 6.36e-03h  7
 245  1.1988617e+00 6.69e-02 2.50e+06  -0.5 1.99e+01    -  2.84e-01 2.13e-02h  5
 246  1.1988389e+00 6.69e-02 2.36e+06  -0.5 7.77e+00    -  5.35e-01 1.89e-02h  6
 247  1.1984882e+00 6.69e-02 2.08e+06  -0.5 1.07e+01    -  3.94e-01 2.11e-01h  1
 248  1.1988028e+00 6.69e-02 2.08e+06  -0.5 4.39e+01    -  1.34e-02 9.31e-03f  4
 249  1.1988105e+00 6.69e-02 2.04e+06  -0.5 1.92e+01    -  1.33e-01 9.69e-04h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 250  1.1986473e+00 6.69e-02 1.84e+06  -0.5 1.86e+01    -  1.30e-02 7.60e-02f  3
 251  1.1984199e+00 6.69e-02 1.70e+06  -0.5 1.51e+01    -  9.75e-02 4.32e-02h  1
 252  1.1984257e+00 6.69e-02 1.43e+06  -0.5 2.01e+01    -  4.92e-01 2.91e-02h  2
 253  1.1983716e+00 6.69e-02 9.86e+05  -0.5 1.52e+01    -  1.62e-01 1.24e-01H  1
 254  1.1983202e+00 6.69e-02 9.29e+05  -0.5 3.46e+00    -  6.06e-01 7.72e-02h  1
 255  1.1992944e+00 6.69e-02 8.88e+05  -0.5 4.66e+00    -  2.88e-03 6.43e-01H  1
 256  1.1993053e+00 6.69e-02 6.85e+05  -0.5 1.71e+01    -  5.37e-01 2.41e-02h  2
 257  1.1984437e+00 6.68e-02 4.64e+05  -0.5 3.61e+00    -  1.03e-01 4.55e-01H  1
 258  1.1979776e+00 6.68e-02 3.27e+05  -0.5 7.07e+00    -  5.09e-01 1.84e-01f  3
 259  1.1967167e+00 6.68e-02 2.18e+05  -0.5 7.80e+00    -  6.81e-02 5.27e-01F  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 260  1.1967369e+00 6.68e-02 1.86e+05  -0.5 1.24e+01    -  3.12e-01 7.82e-03h  1
 261  1.1966422e+00 6.68e-02 8.79e+04  -0.5 2.09e+00    -  2.19e-01 6.20e-01f  1
 262  1.1965506e+00 6.68e-02 2.04e+05  -0.5 2.13e+00    -  4.28e-01 1.00e+00f  1
 263  1.1965942e+00 6.68e-02 4.77e+05  -0.7 2.19e+00    -  1.00e+00 1.00e+00f  1
 264  1.1949502e+00 1.20e-01 1.03e+06  -0.8 3.57e+01    -  1.56e-01 5.32e-01f  1
 265  1.1949920e+00 1.19e-01 1.03e+06  -0.8 7.71e+01    -  1.27e-01 3.56e-03h  1
 266  1.1955326e+00 6.68e-02 2.45e+05  -0.8 1.27e+01    -  4.52e-02 5.09e-01f  1
 267  1.1962930e+00 8.19e-02 1.15e+06  -0.8 1.85e+01    -  2.23e-02 1.00e+00f  1
 268  1.1964102e+00 7.90e-02 9.50e+05  -0.8 3.81e+01    -  2.87e-01 7.75e-02h  1
 269  1.1951258e+00 1.53e-01 6.78e+05  -0.8 7.43e+01    -  1.31e-03 2.22e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 270  1.1951232e+00 1.53e-01 5.65e+05  -0.8 2.15e+01    -  2.60e-01 2.62e-03h  2
 271  1.1954364e+00 9.40e-02 3.50e+05  -0.8 7.25e+00    -  1.97e-01 3.96e-01h  1
 272  1.1954287e+00 9.31e-02 3.25e+05  -0.8 2.32e+01    -  1.49e-02 9.14e-03h  1
 273  1.1950088e+00 7.02e-02 9.29e+05  -0.8 2.25e+01    -  6.84e-02 3.20e-01f  2
 274  1.1950489e+00 6.67e-02 8.10e+05  -0.8 4.51e+00    -  1.00e+00 1.25e-01h  1
 275  1.1947716e+00 6.67e-02 4.38e+05  -0.8 1.06e+01    -  4.96e-01 5.64e-01h  1
 276  1.1948364e+00 6.67e-02 1.54e+05  -0.8 1.02e+01    -  1.00e+00 1.80e-01h  1
 277  1.1949845e+00 6.67e-02 1.27e+05  -0.8 5.13e+00    -  1.64e-01 5.84e-01h  1
 278  1.1949820e+00 6.67e-02 4.79e+05  -0.8 1.99e+00    -  1.41e-01 1.00e+00f  1
 279  1.1949534e+00 6.67e-02 5.54e+04  -0.4 2.94e+00    -  1.00e+00 2.08e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 280  1.1951450e+00 6.67e-02 4.84e+04  -1.6 1.45e+00    -  8.46e-01 9.34e-01h  1
 281  1.1951689e+00 6.67e-02 3.02e+05  -2.1 2.40e+00    -  7.67e-01 3.21e-01H  1
 282  1.1951896e+00 6.67e-02 2.57e+05  -7.6 3.15e+00    -  7.76e-02 1.46e-01h  1
 283  1.1951899e+00 6.67e-02 2.68e+05  -0.3 1.91e+01    -  1.44e-02 2.45e-04h  1
 284  1.1954429e+00 6.67e-02 1.89e+05  -1.6 1.06e+00    -  5.76e-03 1.00e+00f  1
 285  1.1954471e+00 6.67e-02 2.24e+05  -1.6 3.94e-01    -  5.05e-01 1.00e+00h  1
 286  1.1954511e+00 6.67e-02 7.99e+04  -1.6 1.11e+00    -  9.34e-01 3.74e-02h  2
 287  1.1957462e+00 6.66e-02 7.43e+05  -1.7 3.15e+00    -  2.82e-01 1.00e+00f  1
 288  1.1959395e+00 6.67e-02 6.60e+05  -1.7 1.39e+00    -  5.58e-02 8.19e-01h  1
 289  1.1959257e+00 6.67e-02 1.05e+06  -1.7 3.27e+00    -  2.92e-02 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 290  1.1959632e+00 6.67e-02 5.55e+05  -1.7 1.50e+01    -  5.74e-01 2.58e-01h  1
 291  1.1960530e+00 6.66e-02 1.85e+05  -1.7 2.84e+00    -  5.49e-01 1.00e+00h  1
 292  1.1960374e+00 6.66e-02 2.31e+05  -1.7 1.32e+00    -  3.92e-01 2.35e-01h  1
 293  1.1957934e+00 6.66e-02 1.05e+06  -1.7 1.15e+01    -  6.06e-02 1.00e+00f  1
 294  1.1956216e+00 6.66e-02 7.79e+05  -1.7 8.51e+00    -  2.01e-01 2.33e-01h  2
 295  1.1951827e+00 6.66e-02 9.49e+05  -1.7 4.32e+01    -  2.08e-02 8.21e-02h  2
 296  1.1951818e+00 6.66e-02 6.54e+05  -1.7 8.04e+00    -  3.84e-01 1.29e-02h  5
 297  1.1951801e+00 6.66e-02 6.16e+05  -1.7 1.78e+01    -  5.95e-02 1.21e-03h  4
 298  1.1950866e+00 6.66e-02 5.44e+05  -1.7 3.25e+01    -  8.46e-02 6.06e-02h  2
 299  1.1950943e+00 6.66e-02 4.82e+05  -1.7 1.88e+01    -  4.22e-02 2.69e-02f  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 300  1.1950883e+00 6.66e-02 4.97e+05  -1.7 2.82e+01    -  2.68e-01 9.13e-03h  2
 301  1.1951424e+00 6.66e-02 8.87e+04  -1.7 1.52e+01    -  2.27e-01 2.26e-01h  2
 302  1.1951400e+00 6.66e-02 1.12e+05  -1.7 1.95e+01    -  2.95e-01 4.38e-03h  2
 303  1.1952370e+00 6.66e-02 2.11e+05  -1.7 5.77e+00    -  7.96e-01 1.64e-01h  3
 304  1.1954106e+00 6.66e-02 1.76e+05  -1.7 7.98e+00    -  5.26e-01 2.58e-01w  1
 305  1.1954271e+00 6.66e-02 2.58e+05  -1.7 5.28e+00    -  2.32e-01 1.02e-02w  1
 306  1.1955689e+00 6.66e-02 1.06e+05  -1.7 4.42e+00    -  2.25e-02 3.27e-01w  1
 307  1.1952804e+00 6.66e-02 3.48e+05  -1.7 8.71e+00    -  5.26e-01 6.46e-02h  2
 308  1.1952805e+00 6.66e-02 4.39e+05  -1.7 1.50e+01    -  3.95e-01 1.30e-03h  3
 309  1.1952889e+00 6.66e-02 4.31e+05  -1.7 5.21e+00    -  1.09e-01 1.18e-02h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 310  1.1954996e+00 6.66e-02 4.77e+05  -1.7 6.23e+00    -  6.21e-01 2.19e-01h  1
 311  1.1955222e+00 6.66e-02 4.36e+05  -1.7 7.35e+00    -  4.86e-02 5.57e-02h  1
 312  1.1958078e+00 6.66e-02 3.35e+05  -1.7 1.62e+01    -  1.43e-02 1.56e-01f  1
 313  1.1957979e+00 6.66e-02 2.88e+05  -1.7 7.23e+01    -  2.40e-02 1.20e-02h  1
 314  1.1961074e+00 6.66e-02 2.66e+05  -1.7 9.89e+00    -  6.49e-01 2.93e-01f  1
 315  1.1977626e+00 6.66e-02 3.98e+06  -1.7 2.65e+02    -  1.62e-02 4.40e-02f  2
 316  1.1976040e+00 6.66e-02 3.43e+06  -1.7 6.25e+00    -  1.00e+00 1.68e-01h  2
 317  1.1974408e+00 6.66e-02 2.44e+06  -1.7 4.60e+00    -  1.00e+00 2.46e-01h  2
 318  1.1973995e+00 6.66e-02 2.20e+06  -1.7 2.57e+00    -  1.00e+00 1.24e-01h  2
 319  1.1973753e+00 6.66e-02 1.89e+06  -1.7 2.93e+00    -  8.25e-01 6.42e-02h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 320  1.1973716e+00 6.66e-02 7.56e+05  -1.7 1.81e+00    -  1.00e+00 5.74e-01h  1
 321  1.1969865e+00 6.66e-02 9.72e+04  -1.7 3.77e+00    -  1.76e-01 1.00e+00h  1
 322  1.1970781e+00 6.66e-02 1.37e+05  -1.7 1.51e+01    -  1.86e-01 3.62e-02h  1
 323  1.1972369e+00 6.66e-02 1.24e+05  -1.7 4.18e+00    -  5.61e-01 4.16e-01F  1
 324  1.1976830e+00 6.66e-02 1.35e+05  -1.7 1.49e+01    -  3.00e-01 2.53e-01f  2
 325  1.1978787e+00 6.66e-02 1.98e+05  -1.7 4.61e+01    -  2.46e-01 5.01e-02h  2
 326  1.2013731e+00 1.01e-01 2.70e+05  -1.7 1.47e+02    -  8.87e-02 2.01e-01f  1
 327  1.2014025e+00 1.01e-01 2.68e+05  -1.7 5.27e+02    -  9.23e-02 2.81e-04h  2
 328  1.2018913e+00 1.00e-01 2.86e+05  -1.7 3.10e+02    -  4.34e-02 9.34e-03h  1
 329  1.2021139e+00 1.00e-01 2.77e+05  -1.7 3.31e+03    -  5.93e-03 4.14e-04h  3
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 330  1.2022844e+00 1.00e-01 2.64e+05  -1.7 6.83e+02    -  7.99e-02 1.56e-03h  3
 331  1.2025545e+00 1.44e-01 1.62e+06  -1.7 3.02e+02    -  2.04e-02 9.03e-02F  1
 332  1.2025988e+00 1.39e-01 1.60e+06  -1.7 1.91e+01    -  3.09e-01 3.36e-02h  2
 333  1.2026110e+00 1.38e-01 1.47e+06  -1.7 1.67e+01    -  1.78e-01 1.12e-02h  3
 334  1.2026322e+00 1.34e-01 1.51e+06  -1.7 4.99e+01    -  4.79e-02 2.36e-02h  2
 335  1.2026406e+00 1.34e-01 1.20e+06  -1.7 2.15e+02    -  3.95e-02 3.05e-03h  1
 336  1.2027517e+00 1.27e-01 1.11e+06  -1.7 1.92e+01    -  1.25e-02 5.66e-02f  1
 337  1.2027619e+00 1.24e-01 1.18e+06  -1.7 4.40e+01    -  2.68e-02 1.65e-02h  1
 338  1.2026245e+00 1.22e-01 9.52e+05  -1.7 1.27e+02    -  1.99e-03 2.76e-02f  1
 339  1.2025876e+00 8.04e-02 1.33e+06  -1.7 1.93e+01    -  5.95e-01 3.81e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 340  1.2035647e+00 6.66e-02 1.11e+06  -1.7 3.20e+01    -  1.09e-01 3.71e-01h  1
 341  1.2035676e+00 6.66e-02 1.10e+06  -1.7 8.91e+00    -  1.00e+00 8.48e-03h  1
 342  1.2030803e+00 8.37e-02 1.62e+06  -1.7 5.53e+01    -  1.95e-01 2.97e-01h  1
 343  1.2035807e+00 6.66e-02 1.17e+06  -1.7 1.30e+01    -  7.13e-01 2.37e-01h  1
 344  1.2036909e+00 6.66e-02 9.69e+05  -1.7 7.83e+00    -  1.24e-01 1.03e-01h  1
 345  1.2038324e+00 6.66e-02 1.23e+06  -1.7 1.06e+02    -  1.05e-02 5.72e-02f  1
 346  1.2039134e+00 6.66e-02 1.09e+06  -1.7 6.76e+00    -  5.36e-01 7.96e-02h  1
 347  1.2050962e+00 6.66e-02 1.20e+06  -1.7 6.99e+00    -  1.69e-01 7.82e-01f  1
 348  1.2048828e+00 6.66e-02 5.60e+05  -1.7 6.71e+00    -  1.07e-01 1.00e+00f  1
 349  1.2046585e+00 6.66e-02 8.27e+05  -1.7 1.20e+01    -  7.96e-01 2.14e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 350  1.2046972e+00 6.66e-02 4.95e+05  -1.7 2.23e+01    -  9.45e-01 1.13e-01h  2
 351  1.2046704e+00 6.66e-02 2.32e+05  -1.7 4.02e+00    -  1.00e+00 5.22e-01h  1
 352  1.2045486e+00 6.66e-02 1.45e+05  -1.7 3.23e+01    -  3.18e-01 5.47e-02h  3
 353  1.2049215e+00 6.66e-02 1.63e+06  -1.7 2.72e+01    -  2.53e-01 2.97e-01H  1
 354  1.2047721e+00 6.66e-02 1.66e+06  -1.7 2.22e+01    -  3.32e-03 1.48e-01f  3
 355  1.2047775e+00 6.66e-02 1.66e+06  -1.7 8.92e+01    -  5.86e-02 3.08e-04h  9
 356  1.2047778e+00 6.66e-02 1.67e+06  -1.7 6.50e+00    -  7.19e-01 1.89e-02h  2
 357  1.2052495e+00 6.66e-02 7.52e+05  -1.7 6.97e+00    -  3.31e-01 5.69e-01h  1
 358  1.2052074e+00 6.66e-02 3.55e+05  -1.7 6.01e+00    -  5.35e-01 1.93e-01f  2
 359  1.2052650e+00 6.66e-02 4.47e+05  -1.7 5.99e+00    -  1.00e+00 1.76e-01h  2
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 360  1.2047853e+00 6.66e-02 7.43e+04  -1.7 1.82e+01    -  5.26e-02 1.76e-01h  1
 361  1.2047860e+00 6.66e-02 1.06e+05  -1.7 9.66e+00    -  2.81e-01 1.49e-03h  4
 362  1.2047870e+00 6.66e-02 9.99e+04  -1.7 2.03e+01    -  7.94e-02 6.89e-04h  6
 363  1.2048254e+00 6.66e-02 6.86e+04  -1.7 1.84e+01    -  5.98e-01 2.25e-02h  3
 364  1.2048503e+00 6.66e-02 6.87e+04  -1.7 2.91e+02    -  6.59e-02 7.64e-04h  6
 365  1.2049202e+00 6.66e-02 3.60e+04  -1.7 4.19e+01    -  1.25e-01 5.58e-02h  2
 366  1.2049256e+00 6.66e-02 3.17e+04  -1.7 4.28e+02    -  4.18e-02 1.85e-04h  7
 367  1.2049310e+00 6.66e-02 3.27e+04  -1.7 2.96e+02    -  2.08e-02 4.39e-04h  6
 368  1.2049395e+00 6.66e-02 5.04e+04  -1.7 1.58e+02    -  4.23e-01 1.91e-03h  5
 369  1.2048547e+00 6.66e-02 3.63e+04  -1.7 1.11e+02    -  4.01e-03 2.45e-02f  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 370  1.2046271e+00 1.23e-01 2.85e+05  -1.7 4.63e+01    -  2.40e-01 1.48e-01f  2
 371  1.2045955e+00 1.18e-01 2.26e+05  -1.7 6.19e+01    -  1.22e-01 5.27e-02w  1
 372  1.2045597e+00 1.16e-01 3.37e+05  -1.7 7.08e+01    -  1.07e-01 2.20e-02w  1
 373  1.2047289e+00 7.38e-02 2.06e+05  -1.7 1.20e+01    -  2.67e-02 3.99e-01w  1
 374  1.2046113e+00 1.21e-01 2.56e+05  -1.7 3.73e+01    -  1.22e-01 2.64e-02h  1
 375  1.2046086e+00 1.20e-01 2.32e+05  -1.7 1.36e+02    -  3.51e-01 5.05e-03h  4
 376  1.2045850e+00 1.17e-01 1.54e+05  -1.7 8.17e+01    -  2.63e-01 2.46e-02h  4
 377  1.2045895e+00 1.13e-01 1.45e+05  -1.7 1.60e+01    -  9.40e-01 3.28e-02h  5
 378  1.2047677e+00 1.02e-01 3.07e+05  -1.7 4.01e+01    -  1.16e-01 9.54e-02h  2
 379  1.2048543e+00 6.66e-02 3.44e+05  -1.7 5.62e+00    -  4.67e-01 8.70e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 380  1.2048515e+00 6.66e-02 3.13e+05  -1.7 1.28e+01    -  5.99e-01 5.29e-03h  4
 381  1.2048515e+00 6.66e-02 3.01e+05  -1.7 4.60e+00    -  9.45e-01 9.82e-03h  6
 382  1.2050162e+00 6.66e-02 6.94e+05  -1.7 3.00e+00    -  1.00e+00 1.00e+00h  1
 383  1.2049449e+00 6.66e-02 5.60e+05  -1.7 1.38e+01    -  1.37e-01 1.06e-01h  2
 384  1.2049495e+00 6.66e-02 5.26e+05  -1.7 3.88e+01    -  5.35e-02 1.63e-02h  2
 385  1.2049577e+00 6.66e-02 4.45e+05  -1.7 7.39e+00    -  4.21e-01 1.77e-02h  2
 386  1.2049339e+00 6.66e-02 4.06e+05  -1.7 3.77e+01    -  1.48e-01 1.03e-02h  2
 387  1.2049305e+00 6.66e-02 3.37e+05  -1.7 4.16e+00    -  1.00e+00 2.03e-02h  2
 388  1.2049058e+00 6.66e-02 3.91e+05  -1.7 4.45e+01    -  1.77e-01 4.75e-03h  3
 389  1.2049082e+00 6.66e-02 3.76e+05  -1.7 3.41e+01    -  2.02e-01 6.10e-03h  4
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 390  1.2049779e+00 6.66e-02 3.92e+05  -1.7 1.16e+01    -  7.16e-01 1.59e-01h  1
 391  1.2051415e+00 6.66e-02 4.37e+05  -1.7 1.26e+01    -  5.39e-01 1.70e-01f  2
 392  1.2049376e+00 6.66e-02 3.75e+05  -1.7 3.07e+00    -  2.94e-01 2.58e-01h  1
 393  1.2049425e+00 6.66e-02 3.11e+05  -1.7 4.20e+00    -  7.96e-02 1.60e-01h  1
 394  1.2050850e+00 6.66e-02 1.56e+05  -1.7 9.40e+00    -  4.78e-02 1.98e-01f  1
 395  1.2051514e+00 6.66e-02 2.25e+05  -1.7 7.85e+01    -  1.82e-02 8.52e-03h  3
 396  1.2051526e+00 6.66e-02 2.39e+05  -1.7 2.41e+01    -  2.12e-01 7.77e-04h  5
 397  1.2049155e+00 6.66e-02 3.04e+04  -1.7 5.64e+00    -  4.66e-01 1.00e+00h  1
 398  1.2049056e+00 6.66e-02 4.16e+04  -1.7 6.17e+01    -  4.44e-02 4.81e-03h  4
 399  1.2048968e+00 6.66e-02 8.37e+04  -1.7 5.40e+00    -  9.05e-01 1.20e-01h  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 400  1.2048937e+00 6.66e-02 8.30e+04  -1.7 1.18e+01    -  1.00e+00 4.18e-02h  2
 401  1.2047523e+00 6.66e-02 9.45e+04  -1.7 1.95e+00    -  6.64e-01 4.38e-01h  1
 402  1.2046928e+00 6.66e-02 1.98e+05  -1.7 9.81e+00    -  5.96e-01 3.53e-01H  1
 403  1.2048215e+00 6.66e-02 5.51e+04  -1.7 1.50e+00    -  7.58e-01 1.00e+00f  1
 404  1.2047912e+00 6.66e-02 3.39e+04  -1.7 7.32e-01    -  4.90e-01 1.00e+00h  1
 405  1.2045836e+00 6.66e-02 4.22e+05  -7.7 3.02e+00    -  3.07e-01 6.19e-01h  1
 406  1.2047696e+00 6.66e-02 3.19e+04  -2.0 1.55e+00    -  1.00e+00 1.00e+00f  1
 407  1.2049144e+00 6.66e-02 2.06e+05  -2.0 3.76e+00    -  4.64e-01 4.79e-01H  1
 408  1.2049023e+00 6.66e-02 1.07e+05  -2.0 6.80e-01    -  1.00e+00 1.00e+00f  1
 409r 1.2049023e+00 6.66e-02 1.00e+03  -1.2 0.00e+00    -  0.00e+00 3.27e-07R 18
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 410r 1.2045299e+00 6.76e-02 4.80e+02  -0.6 1.34e+02    -  5.20e-01 1.76e-02f  1
 411r 1.2011641e+00 6.76e-02 2.38e+02  -1.1 7.70e+00    -  5.05e-01 4.53e-01f  1
 412r 1.1952925e+00 6.76e-02 1.43e+02  -1.1 7.23e+00    -  4.32e-01 1.00e+00f  1
 413r 1.1887174e+00 6.72e-02 6.49e+01  -1.1 5.76e+00    -  7.65e-01 1.00e+00f  1
 414r 1.1895500e+00 6.74e-02 4.84e+01  -1.5 3.53e+00    -  7.14e-01 6.11e-01f  1
 415r 1.1892827e+00 6.75e-02 3.73e+01  -1.5 5.80e+00    -  3.31e-01 3.13e-01f  1
 416r 1.1895162e+00 6.75e-02 7.79e+00  -7.4 2.22e+00    -  6.91e-01 1.72e-01f  1
 417r 1.1897658e+00 6.76e-02 2.91e+00  -3.2 1.92e+00    -  5.05e-01 7.37e-01f  1
 418r 1.1887263e+00 6.77e-02 6.76e+00  -1.3 5.56e+01    -  1.41e-01 4.55e-02f  1
 419r 1.1891719e+00 6.77e-02 2.61e+00  -2.0 9.18e+00    -  4.19e-01 1.26e-01f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
 420r 1.1882812e+00 6.77e-02 9.98e+00  -2.0 1.90e+01    -  8.74e-02 2.81e-01f  1
 421r 1.1889204e+00 6.77e-02 3.95e+00  -2.0 4.03e+00    -  8.34e-01 5.51e-01h  1
 422r 1.1900272e+00 6.77e-02 1.66e+00  -8.0 2.49e+00    -  7.86e-01 6.07e-01f  1
 423r 1.1822136e+00 6.77e-02 6.46e+00  -2.5 1.45e+01    -  9.70e-01 1.00e+00f  1
 424r 1.1850891e+00 9.59e-01 2.17e+01  -2.3 1.82e+01    -  1.00e+00 8.28e-01h  1
 425r 1.1827005e+00 2.60e-01 5.43e+00  -2.4 1.37e+01    -  7.76e-01 1.00e+00h  1
 426r 1.1833058e+00 4.67e-01 5.62e+00  -2.4 1.81e+01    -  7.85e-01 5.46e-01H  1
 427r 1.1801341e+00 6.77e-02 2.00e+00  -2.4 1.01e+01    -  3.46e-01 9.19e-01h  1
 428r 1.1819755e+00 6.77e-02 1.64e+00  -2.4 1.62e+01    -  7.55e-01 5.35e-01H  1
 429r 1.1781682e+00 6.77e-02 3.92e+00  -2.4 5.50e+00    -  1.00e+00 1.00e+00f  1
iter    objective    inf_pr   inf_du lg(mu)  ||d||  lg(rg) alpha_du alpha_pr  ls
